PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,CFACPR,OPENPRC
84398,1999/11/05,136.78125,139.10938,137.87500,7431500,137.81250,138.12500,1,138.62500
84398,1999/11/08,136.75000,138.37500,138.00000,4649199,137.68750,138.00000,1,137.00000
84398,1999/11/09,136.28125,138.68750,136.70313,4533699,136.50000,137.00000,1,138.50000
84398,1999/11/10,136.07813,138.39063,137.71875,6405599,137.50000,137.84375,1,136.25000
84398,1999/11/11,137.46875,138.50000,138.50000,4794099,138.34375,138.56250,1,138.18750
84398,1999/11/12,137.12500,139.98438,139.75000,11802899,139.62500,140.12500,1,139.25000
84398,1999/11/15,139.40625,140.25000,140.07813,2187500,139.93750,140.12500,1,139.84375
84398,1999/11/16,140.09375,143.00000,141.25000,7544799,142.68750,143.00000,1,140.56250
84398,1999/11/17,141.31250,142.93750,141.56250,9458099,141.34375,141.68750,1,142.25000
84398,1999/11/18,141.62500,143.00000,142.62500,4491000,142.56250,142.84375,1,142.43750
84398,1999/11/19,142.00000,142.96875,142.50000,4832099,142.25000,142.62500,1,142.40625
84398,1999/11/22,141.50000,143.00000,142.46875,4155399,142.25000,142.75000,1,142.43750
84398,1999/11/23,140.37500,142.84375,141.21875,5917899,141.00000,141.34375,1,142.84375
84398,1999/11/24,140.00000,142.43750,142.06250,4458099,141.87500,142.12500,1,140.75000
84398,1999/11/26,141.25000,142.87500,141.37500,1693399,141.43750,141.62500,1,142.46875
84398,1999/11/29,140.43750,141.92188,140.93750,7348599,140.75000,141.25000,1,140.87500
84398,1999/11/30,139.00000,142.31250,139.39063,7681898,139.00000,139.25000,1,140.75000
84398,1999/12/01,139.00000,140.50000,140.40625,6980199,140.25000,140.50000,1,139.31250
84398,1999/12/02,140.37500,141.37500,141.25000,6698299,141.25000,141.31250,1,140.62500
84398,1999/12/03,143.03125,145.34375,143.84375,10044899,143.62500,144.00000,1,143.03125
84398,1999/12/06,142.25000,143.71875,142.78125,3138799,142.28125,143.00000,1,143.53125
84398,1999/12/07,141.37500,143.31250,141.62500,10714000,141.53125,141.90625,1,143.28125
84398,1999/12/08,140.50000,142.06250,140.71875,4611199,140.46875,140.71875,1,141.34375
84398,1999/12/09,139.37500,142.21875,141.40625,6474699,141.12500,141.56250,1,141.81250
84398,1999/12/10,140.87500,142.81250,141.87500,5127299,141.78125,142.06250,1,142.28125
84398,1999/12/13,141.28125,142.71875,142.12500,4210799,141.87500,142.25000,1,141.43750
84398,1999/12/14,140.62500,142.48438,140.75000,5739000,140.62500,141.12500,1,141.62500
84398,1999/12/15,140.03125,142.20313,141.48438,6879000,141.12500,141.62500,1,140.37500
84398,1999/12/16,141.15625,142.65625,142.12500,5854799,142.06250,142.43750,1,142.18750
84398,1999/12/17,142.06250,143.31250,142.68750,4775399,142.37500,142.81250,1,143.00000
84398,1999/12/20,141.09375,143.18750,141.65625,4608699,141.56250,141.84375,1,142.56250
84398,1999/12/21,141.34375,144.06250,143.81250,7981299,143.50000,143.75000,1,141.59375
84398,1999/12/22,142.96875,144.18750,144.18750,5377500,143.87500,144.15625,1,143.62500
84398,1999/12/23,145.00000,146.48438,146.48438,5721699,145.81250,146.62500,1,145.01563
84398,1999/12/27,145.06250,146.78125,146.28125,2691000,146.12500,146.25000,1,146.50000
84398,1999/12/28,145.48438,146.50000,146.18750,4084500,145.96875,146.31250,1,145.87500
84398,1999/12/29,145.31250,146.81250,146.81250,3001000,146.53125,146.93750,1,146.31250
84398,1999/12/30,146.18750,147.56250,146.64063,3641299,146.40625,146.76563,1,147.12500
84398,1999/12/31,146.25000,147.50000,146.87500,3172699,146.87500,147.06250,1,146.84375
84398,2000/01/03,143.87500,148.25000,145.43750,8164299,145.06250,145.43750,1,148.25000
84398,2000/01/04,139.64063,144.06250,139.75000,8089799,139.68750,140.00000,1,143.53125
84398,2000/01/05,137.25000,141.53125,140.00000,12177899,139.93750,140.37500,1,139.93750
84398,2000/01/06,137.75000,141.50000,137.75000,6227199,139.12500,139.75000,1,139.62500
84398,2000/01/07,140.06250,145.75000,145.75000,8066599,144.62500,144.87500,1,140.31250
84398,2000/01/10,145.03125,146.90625,146.25000,5741599,146.12500,146.31250,1,146.25000
84398,2000/01/11,143.50000,146.09375,144.31250,7433699,144.12500,144.50000,1,145.81250
84398,2000/01/12,142.87500,144.59375,143.06250,6911699,143.00000,143.37500,1,144.59375
84398,2000/01/13,143.28125,145.75000,145.00000,5158299,144.65625,145.03125,1,144.46875
84398,2000/01/14,145.96875,147.46875,146.96875,7437299,146.75000,147.00000,1,146.53125
84398,2000/01/18,145.18750,146.62500,145.81250,6488500,145.62500,145.93750,1,145.34375
84398,2000/01/19,145.00000,146.46875,146.25000,6152899,146.12500,146.50000,1,145.31250
84398,2000/01/20,143.81250,146.96875,144.75000,5800099,144.62500,144.96875,1,146.96875
84398,2000/01/21,144.06250,145.50000,144.43750,6244799,144.28125,144.65625,1,145.50000
84398,2000/01/24,139.40625,145.84375,140.34375,7896899,140.25000,140.53125,1,145.65625
84398,2000/01/25,139.00000,141.93750,141.93750,9942500,141.00000,141.25000,1,140.51563
84398,2000/01/26,140.09375,141.54688,140.81250,5158099,140.87500,141.00000,1,141.00000
84398,2000/01/27,138.12500,142.21875,140.25000,10919899,140.00000,140.96875,1,141.84375
84398,2000/01/28,135.53125,140.06250,135.87500,11916199,135.68750,136.50000,1,139.43750
84398,2000/01/31,135.00000,139.67188,139.62500,10768601,139.25000,139.56250,1,135.81250
84398,2000/02/01,138.53125,141.68750,140.93750,8419799,140.62500,141.43750,1,139.75000
84398,2000/02/02,140.37500,142.25000,141.06250,6205899,140.75000,141.18750,1,141.28125
84398,2000/02/03,140.00000,143.25000,143.18750,7997500,142.62500,143.62500,1,140.87500
84398,2000/02/04,142.12500,144.00000,142.59375,4925399,142.56250,142.87500,1,143.18750
84398,2000/02/07,141.43750,142.78125,142.37500,5845799,142.09375,142.87500,1,142.56250
84398,2000/02/08,143.62500,144.56250,144.31250,4936500,143.93750,144.71875,1,143.96875
84398,2000/02/09,141.26563,144.46875,141.28125,8511500,141.03125,141.95313,1,144.46875
84398,2000/02/10,140.87500,142.56250,141.56250,6690599,141.25000,142.06250,1,141.62500
84398,2000/02/11,138.03125,141.93750,138.68750,9849199,138.68750,138.68750,1,141.84375
84398,2000/02/14,138.31250,139.78125,139.50000,8528799,139.46875,139.71875,1,139.78125
84398,2000/02/15,137.79688,141.21875,141.09375,11078299,140.12500,140.96875,1,139.25000
84398,2000/02/16,138.79688,140.93750,139.18750,8845399,139.00000,139.50000,1,140.37500
84398,2000/02/17,138.21875,140.43750,138.28125,7584199,138.09375,138.96875,1,140.43750
84398,2000/02/18,134.62500,138.87500,135.31250,9650899,135.00000,135.37500,1,138.87500
84398,2000/02/22,133.53125,136.34375,134.96875,16415399,134.78125,135.43750,1,135.18750
84398,2000/02/23,134.50000,137.46875,136.56250,12119000,136.00000,136.78125,1,135.62500
84398,2000/02/24,133.09375,137.03125,133.81250,17374992,135.12500,135.96875,1,136.68750
84398,2000/02/25,133.12500,136.71875,133.32813,10559899,133.50000,134.15625,1,135.18750
84398,2000/02/28,132.71875,136.68750,136.12500,13397799,134.62500,135.31250,1,133.37500
84398,2000/02/29,135.75000,137.43750,137.43750,8242500,136.56250,137.43750,1,136.06250
84398,2000/03/01,137.21875,139.00000,138.43750,6866000,138.31250,138.50000,1,137.62500
84398,2000/03/02,137.34375,139.12500,138.53125,7600199,138.50000,139.00000,1,138.68750
84398,2000/03/03,139.71875,141.71875,141.12500,12770299,140.75000,141.68750,1,140.43750
84398,2000/03/06,138.75000,141.34375,139.81250,11966899,139.15625,140.21875,1,140.81250
84398,2000/03/07,135.21875,140.15625,137.04688,20061792,135.18750,135.87500,1,140.00000
84398,2000/03/08,135.03125,137.84375,136.87500,11808399,136.31250,137.15625,1,136.46875
84398,2000/03/09,136.12500,140.87500,140.87500,5500899,140.18750,141.09375,1,137.25000
84398,2000/03/10,139.53125,142.00000,140.18750,7924500,139.62500,140.40625,1,140.18750
84398,2000/03/13,136.50000,140.46875,138.59375,10540399,138.25000,139.25000,1,136.68750
84398,2000/03/14,136.15625,140.09375,136.62500,8263699,136.09375,137.03125,1,139.28125
84398,2000/03/15,136.06250,140.43750,139.81250,10300799,139.37500,140.06250,1,136.87500
84398,2000/03/16,140.87500,146.84375,146.34375,25601392,146.25000,146.75000,1,141.62500
84398,2000/03/17,145.43750,148.00000,146.93750,10272899,146.50000,146.96875,1,145.81250
84398,2000/03/20,144.78125,147.34375,146.78125,12502099,145.90625,146.31250,1,146.87500
84398,2000/03/21,144.50000,149.75000,149.18750,13612799,149.06250,149.68750,1,145.53125
84398,2000/03/22,148.68750,150.84375,150.09375,8259799,149.75000,150.18750,1,149.56250
84398,2000/03/23,149.15625,153.46875,152.50000,11653899,152.25000,152.87500,1,149.15625
84398,2000/03/24,151.71875,155.75000,153.56250,11462899,153.09375,154.00000,1,152.87500
84398,2000/03/27,151.81250,153.78125,151.93750,8798599,151.53125,152.50000,1,153.37500
84398,2000/03/28,150.59375,152.98438,151.06250,6334299,150.87500,151.28125,1,151.25000
84398,2000/03/29,149.65625,152.48438,151.21875,6747500,151.00000,151.50000,1,151.56250
84398,2000/03/30,147.12500,151.92188,148.68750,9491899,148.43750,149.18750,1,150.15625
84398,2000/03/31,148.43750,152.31250,150.37500,9249101,149.87500,150.84375,1,149.62500
84398,2000/04/03,148.68750,151.25000,151.25000,8508199,150.68750,151.56250,1,150.12500
84398,2000/04/04,141.39063,153.00000,145.75000,21056384,150.12500,150.56250,1,151.75000
84398,2000/04/05,147.62500,150.81250,149.18750,8227899,148.50000,149.34375,1,147.87500
84398,2000/04/06,149.00000,151.68750,150.48438,6378500,150.03125,150.84375,1,150.25000
84398,2000/04/07,150.50000,152.12500,151.43750,6023599,151.25000,152.09375,1,151.56250
84398,2000/04/10,150.31250,153.10938,150.84375,9624199,150.50000,151.00000,1,151.75000
84398,2000/04/11,148.37500,151.62500,150.40625,9006399,150.34375,150.84375,1,150.00000
84398,2000/04/12,146.15625,151.15625,146.28125,10779699,145.96875,146.90625,1,150.37500
84398,2000/04/13,141.12500,148.15625,144.25000,12226799,143.75000,144.59375,1,147.46875
84398,2000/04/14,133.50000,142.81250,138.37500,29603792,135.62500,136.21875,1,142.62500
84398,2000/04/17,134.68750,140.75000,140.75000,23918192,139.75000,140.62500,1,135.18750
84398,2000/04/18,139.78125,144.46875,144.46875,10955699,143.87500,144.75000,1,140.56250
84398,2000/04/19,142.53125,145.12500,143.12500,6553699,142.59375,143.50000,1,144.50000
84398,2000/04/20,142.37500,143.93750,143.81250,8537599,143.15625,144.00000,1,143.56250
84398,2000/04/24,140.50000,143.31250,142.25000,12893099,142.40625,143.25000,1,141.50000
84398,2000/04/25,144.43750,148.15625,148.15625,14102000,147.43750,148.50000,1,144.62500
84398,2000/04/26,146.00000,148.75000,146.48438,7711099,145.96875,146.87500,1,147.96875
84398,2000/04/27,143.00000,147.34375,146.00000,15595299,145.43750,146.42188,1,143.00000
84398,2000/04/28,145.06250,147.85938,145.09375,8743398,145.37500,145.75000,1,147.00000
84398,2000/05/01,145.84375,148.48438,147.06250,7328299,146.56250,147.43750,1,146.56250
84398,2000/05/02,144.12500,147.12500,144.12500,9411899,144.12500,144.84375,1,145.50000
84398,2000/05/03,139.78125,144.00000,141.62500,12180699,141.34375,142.12500,1,144.00000
84398,2000/05/04,140.75000,142.35938,141.81250,5963599,141.50000,141.62500,1,142.00000
84398,2000/05/05,140.93750,144.00000,143.53125,7862399,143.03125,144.00000,1,141.06250
84398,2000/05/08,141.84375,143.37500,142.45313,5064099,142.00000,142.93750,1,142.75000
84398,2000/05/09,140.26563,143.40625,141.31250,5619799,141.12500,142.00000,1,143.06250
84398,2000/05/10,137.75000,140.96875,138.12500,10293899,138.15625,138.81250,1,140.50000
84398,2000/05/11,139.12500,141.50000,141.28125,7091099,140.62500,141.59375,1,140.12500
84398,2000/05/12,141.62500,143.46875,142.81250,5960799,142.12500,142.90625,1,141.81250
84398,2000/05/15,142.00000,145.60938,145.28125,4441299,145.00000,145.93750,1,142.75000
84398,2000/05/16,145.31250,147.71875,146.56250,8192000,146.62500,147.37500,1,146.56250
84398,2000/05/17,144.46875,146.18750,145.15625,5906899,145.00000,145.50000,1,145.68750
84398,2000/05/18,143.81250,146.31250,143.81250,4325299,143.84375,144.40625,1,145.62500
84398,2000/05/19,140.40625,143.23438,141.12500,6518399,140.68750,141.37500,1,142.56250
84398,2000/05/22,137.00000,141.46875,140.06250,10839399,140.12500,140.62500,1,141.25000
84398,2000/05/23,137.56250,140.81250,138.00000,7979199,137.53125,138.37500,1,140.43750
84398,2000/05/24,136.50000,140.68750,140.25000,11084500,140.00000,140.75000,1,138.00000
84398,2000/05/25,137.71875,141.81250,137.84375,8278899,138.56250,139.25000,1,140.68750
84398,2000/05/26,137.32813,139.68750,138.00000,4814000,137.75000,138.25000,1,138.81250
84398,2000/05/30,139.46875,142.93750,142.71875,5362599,142.46875,143.15625,1,140.00000
84398,2000/05/31,142.09375,144.00000,142.81250,6056500,142.06250,142.87500,1,142.56250
84398,2000/06/01,143.00000,145.43750,145.31250,8961599,144.65625,145.40625,1,143.68750
84398,2000/06/02,147.48438,149.09375,147.84375,8962199,147.71875,148.25000,1,148.93750
84398,2000/06/05,146.87500,148.21875,147.12500,6998099,147.25000,147.75000,1,147.46875
84398,2000/06/06,145.90625,147.78125,146.46875,4858899,146.00000,146.62500,1,146.62500
84398,2000/06/07,146.00000,148.00000,147.48438,4919500,146.93750,147.84375,1,146.62500
84398,2000/06/08,146.06250,147.75000,146.90625,5723099,146.50000,147.12500,1,147.50000
84398,2000/06/09,145.62500,147.96875,146.59375,3085299,146.00000,146.68750,1,147.50000
84398,2000/06/12,144.87500,146.96875,144.87500,3436799,144.87500,145.15625,1,146.96875
84398,2000/06/13,144.62500,147.75000,147.59375,6551500,147.34375,147.71875,1,144.81250
84398,2000/06/14,147.18750,148.87500,147.84375,6407099,147.71875,148.09375,1,148.25000
84398,2000/06/15,146.84375,148.75000,148.15625,5776199,147.87500,148.28125,1,148.12500
84398,2000/06/16,145.87500,148.31250,146.59375,5526199,146.46875,146.84375,1,148.31250
84398,2000/06/19,146.25000,149.15625,148.46875,5090500,148.25000,148.59375,1,146.46875
84398,2000/06/20,147.00000,148.87500,147.93750,5662299,147.65625,148.06250,1,148.18750
84398,2000/06/21,146.89063,148.43750,147.84375,3112699,147.75000,148.12500,1,146.93750
84398,2000/06/22,145.00000,147.68750,145.62500,7486500,145.50000,145.78130,1,147.56250
84398,2000/06/23,143.87500,146.12500,144.37500,4469899,144.25000,144.65625,1,145.81250
84398,2000/06/26,144.87500,146.25000,146.23438,5194799,145.95313,146.21875,1,145.37500
84398,2000/06/27,145.01563,146.71875,145.15625,4076599,145.03125,145.37500,1,145.98438
84398,2000/06/28,145.31250,146.98438,145.56250,5320099,145.31250,145.68750,1,145.62500
84398,2000/06/29,143.51563,145.75000,144.18750,6339199,144.06250,144.43750,1,144.75000
84398,2000/06/30,143.89063,145.59375,145.28125,7396601,145.15625,145.53125,1,143.93750
84398,2000/07/03,145.18750,147.43750,147.28125,1431899,147.15625,147.50000,1,145.43750
84398,2000/07/05,144.37500,146.65625,144.62500,2714799,144.50000,144.87500,1,146.37500
